Focus,Mag,H-Value,V-Value
0.55,-0.9,1.47,1.504
0.6,-0.9,1.47,1.5
0.65,-0.9,1.47,1.504
0.7,-0.9,1.47,1.492
0.75,-0.9,1.47,1.51
0.8,-0.9,1.47,1.506
0.85,-0.9,1.47,1.507
0.9,-0.9,1.47,1.514
0.95,-0.9,1.47,1.509
1,-0.9,1.47,1.488
1.05,-0.9,1.47,1.512
1.1,-0.9,1.47,1.499
1.15,-0.9,1.48,1.506
1.2,-0.9,1.47,1.507
1.25,-0.9,1.45,1.506
1.3,-0.9,1.46,1.514
1.35,-0.9,1.47,1.529
1.4,-0.9,1.47,1.526
1.45,-0.9,1.44,1.517
1.5,-0.9,1.45,1.519
1.55,-0.9,1.44,1.51
1.6,-0.9,1.43,1.511
1.65,-0.9,1.45,1.511
1.7,-0.9,1.47,1.513
1.75,-0.9,1.37,1.497
1.8,-0.9,1.4,1.503
1.85,-0.9,1.36,1.494
1.9,-0.9,1.42,1.496
1.95,-0.9,1.4,1.5
-2,-1.2,1.53,1.523
-1.95,-1.2,1.51,1.529
-1.9,-1.2,1.53,1.544
-1.85,-1.2,1.51,1.526
-1.8,-1.2,1.52,1.553
-1.75,-1.2,1.51,1.547
-1.7,-1.2,1.52,1.559
-1.65,-1.2,1.52,1.561
-1.6,-1.2,1.52,1.55
-1.55,-1.2,1.5,1.538
-1.5,-1.2,1.5,1.544
-1.45,-1.2,1.5,1.545
-1.4,-1.2,1.49,1.537
-1.35,-1.2,1.51,1.557
-1.3,-1.2,1.48,1.493
-1.25,-1.2,1.5,1.522
-1.2,-1.2,1.48,1.498
-1.15,-1.2,1.49,1.52
-1.1,-1.2,1.49,1.529
-1.05,-1.2,1.5,1.546
-1,-1.2,1.49,1.533
-0.95,-1.2,1.47,1.492
-0.9,-1.2,1.48,1.521
-0.85,-1.2,1.49,1.528
-0.8,-1.2,1.47,1.511
-0.75,-1.2,1.47,1.49
-0.7,-1.2,1.48,1.511
-0.65,-1.2,1.48,1.514
-0.6,-1.2,1.48,1.515
-0.55,-1.2,1.47,1.497
-0.5,-1.2,1.48,1.52
-0.45,-1.2,1.49,1.525
-0.4,-1.2,1.48,1.518
-0.35,-1.2,1.48,1.512
-0.3,-1.2,1.47,1.503
